Key,ID,Type,Layer,X,Y
0,0,rectangle,1,245.0,136.5,20.0,83.0,green,<Surface(750x750x32 SW)>,"(304.51000000000124, 146.8700000000007, 20.0, 83.0)","(324.51000000000124, 126.87000000000067, 20, 20)"
1,1,rectangle,2,686.0,740.0,88.0,20.0,green,<Surface(750x750x32 SW)>,"(711.5100000000012, 781.8700000000007, 88.0, 20.0)","(799.5100000000012, 761.8700000000007, 20, 20)"
2,2,ellipse,3,526.0,635.0,-42.0,203.0,purple,<Surface(750x750x32 SW)>,"(616.5100000000012, 585.3700000000007, -42.0, 203.0)","(574.5100000000012, 565.3700000000007, 20, 20)"
3,3,ellipse,4,671.0,33.0,118.0,20.0,purple,<Surface(750x750x32 SW)>,"(681.5100000000012, 74.87000000000067, 118.0, 20.0)","(799.5100000000012, 54.87000000000067, 20, 20)"
4,4,ellipse,6,425.0,424.0,100.0,100.0,purple,<Surface(750x750x32 SW)>,"(444.51000000000124, 425.8700000000007, 100.0, 100.0)","(544.5100000000012, 405.8700000000007, 20, 20)"
5,5,rectangle,5,375.0,375.0,75.0,75.0,green,<Surface(750x750x32 SW)>,"(407.01000000000124, 389.3700000000007, 75.0, 75.0)","(482.01000000000124, 369.3700000000007, 20, 20)"
6,6,ellipse,7,322.0,326.0,100.0,100.0,purple,<Surface(750x750x32 SW)>,"(341.51000000000124, 327.8700000000007, 100.0, 100.0)","(441.51000000000124, 307.8700000000007, 20, 20)"
7,7,rectangle,9,89.0,356.0,75.0,75.0,green,<Surface(750x750x32 SW)>,"(121.01000000000123, 370.3700000000007, 75.0, 75.0)","(196.01000000000124, 350.3700000000007, 20, 20)"
8,8,rectangle,10,372.0,483.0,75.0,75.0,green,<Surface(750x750x32 SW)>,"(404.01000000000124, 497.3700000000007, 75.0, 75.0)","(479.01000000000124, 477.3700000000007, 20, 20)"
9,9,arc,8,0,0,58.0,223.0,660.0,523.0,594.5,241.0001,cyan,<Surface(750x750x32 SW)>,"(58.0, 223.0, 660.0, 523.0)","(117.51000000000123, 264.8700000000007, 20, 20)","(719.5100000000012, 564.8700000000007, 20, 20)","(654.0100000000012, 282.87010000000066, 20, 20)",True,False,6.082628761205211,2.4175135486713373,0.6570022916027013
10,10,arc,11,0,0,472.0,76.0,740.0,591.0,716.5,220.5,cyan,<Surface(750x750x32 SW)>,"(472.0, 76.0, 740.0, 591.0)","(531.5100000000012, 117.87000000000067, 20, 20)","(799.5100000000012, 632.8700000000007, 20, 20)","(776.0100000000012, 262.3700000000007, 20, 20)",True,False,5.7893339292504,1.453501264071125,0.6205372735188249
