# x, y, z, u, v, w
9.817477042468103487e-02,9.817477042468103487e-02,9.817477042468103487e-02,2.255865491672955636e-01,-2.143063507364081910e-01,-9.147671446285929320e-02
2.945243112740431046e-01,9.817477042468103487e-02,9.817477042468103487e-02,8.100761593509191449e-01,-7.586705542699996307e-01,3.741912460511230831e-01
4.908738521234051744e-01,9.817477042468103487e-02,9.817477042468103487e-02,9.589212206057942112e-01,-1.156507022090474290e+00,5.558482879472618210e-01
6.872233929727672441e-01,9.817477042468103487e-02,9.817477042468103487e-02,5.229352769511818044e-01,-1.340817100106904913e+00,4.775801712126540588e-01
8.835729338221293139e-01,9.817477042468103487e-02,9.817477042468103487e-02,-2.302466522645466029e-01,-1.435725759273982938e+00,3.957955059715341506e-02
1.079922474671491273e+00,9.817477042468103487e-02,9.817477042468103487e-02,-8.387218107897450592e-01,-1.372396449540457475e+00,-7.090184854054951691e-01
1.276272015520853564e+00,9.817477042468103487e-02,9.817477042468103487e-02,-9.884955935592054654e-01,-1.069230010513749107e+00,-1.458153991865656085e+00
1.472621556370215412e+00,9.817477042468103487e-02,9.817477042468103487e-02,-6.685314188259847690e-01,-5.786363226069590748e-01,-1.854414051584160728e+00
1.668971097219577704e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.257234878715340065e-01,8.052831574043393947e-02,-1.635372723783089954e+00
1.865320638068939552e+00,9.817477042468103487e-02,9.817477042468103487e-02,2.419838997058920693e-01,7.388828660494577427e-01,-7.524412766113733886e-01
2.061670178918301843e+00,9.817477042468103487e-02,9.817477042468103487e-02,1.035907492012328596e-01,9.457131119792492324e-01,3.474704280711943261e-01
2.258019719767663691e+00,9.817477042468103487e-02,9.817477042468103487e-02,-4.898885601814123580e-01,5.334717386539707951e-01,9.102242850490599446e-01
2.454369260617025983e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.090236832732729644e+00,-5.928390969962231416e-02,6.361239287672922904e-01
2.650718801466387831e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.271758848188562441e+00,-3.510271733707371888e-01,-9.544357550746855601e-02
2.847068342315750122e+00,9.817477042468103487e-02,9.817477042468103487e-02,-9.970478607455163234e-01,-2.973074884961712794e-01,-7.105751963405732008e-01
3.043417883165111970e+00,9.817477042468103487e-02,9.817477042468103487e-02,-5.391565879211734913e-01,-8.037544592932986676e-02,-7.293465098663107771e-01
